Time (s),Channel 1 (V),Channel 2 (V)
-1.352708163265306214e-04,3.287369930177834298e+00,3.292669791116696221e+00
-1.352408163265306370e-04,3.306125440487749589e+00,3.292669791116706435e+00
-1.352108163265305983e-04,3.306125440487766465e+00,3.296389607780449538e+00
-1.351808163265306138e-04,3.317378746673719903e+00,3.296389607780449538e+00
-1.351508163265306294e-04,3.313627644611746081e+00,3.288949974452970437e+00
-1.351208163265305907e-04,3.313627644611742529e+00,3.300109424444192197e+00
-1.350908163265306062e-04,3.317378746673730117e+00,3.288949974452963776e+00
-1.350608163265306218e-04,3.313627644611746081e+00,3.292669791116702882e+00
-1.350308163265306373e-04,3.328632052859680002e+00,3.303829241107924641e+00
-1.350008163265305986e-04,3.317378746673730117e+00,3.300109424444192197e+00
-1.349708163265306141e-04,3.287369930177854727e+00,3.270350891134277127e+00
-1.349408163265306297e-04,3.291121032239811672e+00,3.274070707797989144e+00
-1.349108163265305910e-04,3.302374338425778877e+00,3.281510341125478458e+00
-1.348808163265306065e-04,3.291121032239815225e+00,3.274070707797992696e+00
-1.348508163265306221e-04,3.279867726053861787e+00,3.262911257806774934e+00
-1.348208163265306376e-04,3.283618828115835608e+00,3.266631074470503826e+00
-1.347908163265305989e-04,3.291121032239815225e+00,3.274070707797992696e+00
-1.347608163265306145e-04,3.291121032239815225e+00,3.266631074470514040e+00
-1.347308163265306300e-04,3.294872134301799260e+00,3.266631074470507379e+00
-1.347008163265305913e-04,3.283618828115839161e+00,3.259191441143022061e+00
-1.346708163265306069e-04,3.279867726053851573e+00,3.262911257806764720e+00
-1.346408163265306224e-04,3.268614419867898135e+00,3.262911257806764720e+00
-1.346108163265306379e-04,3.287369930177810762e+00,3.255471624479286064e+00
-1.345808163265305992e-04,3.279867726053851573e+00,3.259191441143022061e+00
-1.345508163265306148e-04,3.279867726053851573e+00,3.262911257806761167e+00
-1.345208163265306303e-04,3.279867726053851573e+00,3.259191441143025614e+00
